Anime,Recommendation,Agree Votes
10115,13169,0
10115,13171,0
10115,13172,0
10115,13173,0
10115,13174,0
10115,13175,0
10115,13176,0
10115,13177,0
10115,13178,0
10115,13179,0
10116,15697,0
10116,7930,0
10116,963,0
10116,7377,0
10116,13261,0
10116,9761,0
10116,6104,0
10116,8398,0
10116,12306,0
10116,112,0
10117,13634,0
10117,9771,0
10117,15265,0
10117,11190,0
10117,6204,0
10117,11908,0
10117,6949,0
10117,7991,0
10117,3835,0
10117,7992,0
10118,5323,27
10118,1048,19
10118,8329,18
10118,7283,14
10118,4862,13
10118,8969,8
10118,11965,7
10118,10326,6
10118,6429,5
10118,9017,4
10118,4336,2
10118,3477,2
10118,6511,2
10118,789,2
10118,4417,2
10118,5377,2
10118,14837,2
10118,1057,1
10118,48,1
10118,693,1
10118,2360,1
10118,6141,1
10118,7464,1
10118,9423,1
10118,15861,1
10118,6774,1
10118,15874,1
10118,6661,1
10118,13118,1
10118,8608,1
10118,4336,2
10118,3477,2
10118,6511,2
10118,789,2
10118,4417,2
10118,5377,2
10118,14837,2
10118,1057,1
10118,48,1
10118,693,1
10119,9137,5
10119,8246,4
10119,13573,3
10119,5658,2
10119,2469,2
10119,5010,1
10119,7537,1
10119,2700,1
10119,8618,1
10119,9068,1
10119,12503,1
10119,12221,1
10119,9137,5
10119,8246,4
10119,13573,3
10119,5658,2
10119,2469,2
10119,5010,1
10119,7537,1
10119,2700,1
10119,8618,1
10119,9068,1
1012,46,1
1012,440,1
1012,1654,1
1012,225,1
1012,2062,0
1012,4383,0
1012,2111,0
1012,5487,0
1012,1467,0
1012,2317,0
10121,7343,0
10121,14911,0
10121,2061,0
10121,1410,0
10121,4522,0
10121,5711,0
10121,16255,0
10121,1065,0
10121,4196,0
10121,15172,0
10122,14034,0
10122,14035,0
10122,14033,0
10122,9084,0
10122,15608,0
10122,3816,0
10122,3817,0
10122,10609,0
10122,10125,0
10122,9655,0
10123,11533,0
10123,9275,0
10123,15098,0
10123,9274,0
10123,5546,0
10123,14386,0
10123,7100,0
10123,15192,0
10123,10681,0
10123,10688,0
10125,14034,0
10125,14035,0
10125,14033,0
10125,9084,0
10125,10122,0
10125,15608,0
10125,3816,0
10125,3817,0
10125,10609,0
10125,9655,0
10126,10840,0
10126,10577,0
10126,2344,0
10126,2732,0
10126,12603,0
10126,12604,0
10126,5430,0
10126,5043,0
10126,2247,0
10126,7843,0
10127,10840,0
10127,10577,0
10127,2344,0
10127,2732,0
10127,12603,0
10127,12604,0
10127,5430,0
10127,5043,0
10127,2247,0
10127,7843,0
10128,8993,1
10128,9820,1
10128,12053,0
10128,2398,0
10128,5567,0
10128,527,0
10128,15644,0
10128,3052,0
10128,411,0
10128,12201,0
10129,10248,0
10129,5716,0
10129,5288,0
10129,9509,0
10129,9125,0
10129,10090,0
10129,10089,0
10129,6793,0
10129,12878,0
10129,3656,0
1013,2071,19
1013,100,17
1013,1078,16
1013,437,11
1013,1057,10
1013,102,9
1013,8969,8
1013,1001,6
1013,1875,5
1013,1549,4
1013,89,3
1013,1517,3
1013,1060,3
1013,105,3
1013,29,3
1013,2129,3
1013,3491,3
1013,2360,3
1013,977,2
1013,1082,2
1013,108,2
1013,194,2
1013,430,2
1013,931,2
1013,2024,2
1013,267,2
1013,3419,2
1013,4312,2
1013,1105,1
1013,76,1
1013,782,1
1013,1088,1
1013,1207,1
1013,2,1
1013,125,1
1013,111,1
1013,66,1
1013,1000,1
1013,1633,1
1013,1020,1
1013,193,1
1013,400,1
1013,2471,1
1013,2738,1
1013,1904,1
1013,1272,1
1013,1053,1
1013,2284,1
1013,12,1
1013,4471,1
1013,3984,1
1013,2282,1
1013,2287,1
1013,5322,1
1013,5966,1
1013,2126,1
1013,1061,1
1013,7350,1
1013,193,1
1013,400,1
1013,2471,1
1013,2738,1
1013,1904,1
1013,1272,1
1013,1053,1
1013,2284,1
1013,12,1
1013,4471,1
10130,15243,0
10130,16659,0
10130,10657,0
10130,14814,0
10130,14066,0
10130,11840,0
10130,5347,0
10130,16661,0
10130,16660,0
10130,15619,0
10131,5647,0
10131,11692,0
10131,4526,0
10131,9247,0
10131,7869,0
